28.12,24.03,22.64,20.25,21.3601,18.35,18.9,19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02
24.03,22.64,20.25,21.3601,18.35,18.9,19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0
22.64,20.25,21.3601,18.35,18.9,19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6
20.25,21.3601,18.35,18.9,19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98
21.3601,18.35,18.9,19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68
18.35,18.9,19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16
18.9,19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99
19.17,17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31
17.77,17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9
17.3,17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8
17.25,15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81
15.5242,17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8
17.2971,18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101
18.21,17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55
17.15,16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6
16.67,16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97
16.01,15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91
15.6,15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05
15.71,16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14
16.02,16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0
16.0,15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999
15.6,15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36
15.98,15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26
15.68,14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47
14.16,13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77
13.99,14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95
14.31,12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515
12.9,13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23
13.8,13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57
13.81,14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27
14.8,15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57
15.6101,15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94
15.55,15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11
15.6,12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13
12.97,11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25
11.91,12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78
12.05,12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78,14.54
12.14,12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78,14.54,14.14
12.0,12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78,14.54,14.14,13.36
12.0999,12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78,14.54,14.14,13.36,13.31
12.36,12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78,14.54,14.14,13.36,13.31,12.93
12.26,12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78,14.54,14.14,13.36,13.31,12.93,13.82
12.47,12.77,12.95,12.515,13.23,13.57,14.27,13.57,13.94,14.11,14.13,14.25,14.78,14.54,14.14,13.36,13.31,12.93,13.82,14.71
